PAIS,FORMATO,ZONA,CODIGO_FAMILIA,CATEGORY_NBR,CATEGORY_DESC,MARCA,FINELINE,N_FINELINE,N_MARCA,COST_UNIT,SELL_QTY,TOTAL_SKUS,ITEM_PRIMARIO,DESC_PRIMARIO,VENTAS_PRIMARIO,PRECIO_PRIMARIO,ROTACION_PRIMARIO,N_PRECIOS_DISTINTOS,SKUS_IGUAL_PRECIO,SKUS_DIFERENTE_PRECIO,SKUS_SIN_PRECIO,PCT_ALINEACION,OBSERVACIONES
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0025,6894,BEVERAGE ALCOHOL - BEER D96,LEFFE,CERVEZA ARTESANAL,1028,3673,889.875,330.0,2,70593514,CERVEZA LEFFE RUBIA BOTELLA 330ML,0,1430.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0026,6894,BEVERAGE ALCOHOL - BEER D96,PILSEN,CERVEZA PILSENER PAQ,1250,4986,10217.2001,5250.0,2,70000470,CERVEZA PILSEN LATA 15PK 350 ML,105138.0,10800.0,11.0,2,1,1,0,50.0,1/2 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0027,6894,BEVERAGE ALCOHOL - BEER D96,PILSEN,CERVEZA PILSENER UND,1275,4986,984.004,473.0,1,9643764,CERVEZA PILSEN LATA 473ML,22848.0,1230.0,21.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0028,6894,BEVERAGE ALCOHOL - BEER D96,ESTRELLA,CERVEZA LAGER UNIDAD,1025,2142,983.1,330.0,1,70404427,CERVEZA ESTRELLA DE GALICIA LATA 330,0,1190.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0029,6894,BEVERAGE ALCOHOL - BEER D96,CORONA,CERVEZA LAGER UNIDAD,1025,1434,3075.0125,1242.0,2,75295153,CERVEZA CORONITA BOTELLA 6 PK 207 ML,0,3000.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0030,6894,BEVERAGE ALCOHOL - BEER D96,PERONI,CERVEZA LAGER PAQ,1000,4915,899.48,330.0,1,70654555,CERVEZA PERONI NASTRO AZZURRO 330ML,0,920.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0031,6987,BEVERAGES - CARBONATED-D95,FANTA,BEB SABOR REGUL FAMI,1754,2238,1154.9956,2500.0,3,75046963,FANTA NARANJA BOT RETORNABLE 2500ML,11474.0,1310.0,10.0,1,3,0,0,100.0,OK
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0032,6987,BEVERAGES - CARBONATED-D95,MIRINDA,BEB SABOR REGUL PERS,1756,4229,628.28,600.0,1,9521294,REFRESC GAS MIRINDA PET 600ML,8901.0,780.0,13.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0033,6894,BEVERAGE ALCOHOL - BEER D96,STELLA ARTOIS,CERVEZA LAGER PAQ,1000,6054,4875.1025,1980.0,1,75525774,CERVEZA STELA 6PK LT 1980ML,0,6440.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0034,6894,BEVERAGE ALCOHOL - BEER D96,DAMM,CERVEZA LAGER UNIDAD,1025,44749,666.7,330.0,2,75276748,CERVEZA DAMM TOSTADA S ALC 330ML LAT,3940.0,890.0,5.0,1,2,0,0,100.0,OK
