COD_PAIS,PAIS,COD_FORMATO,FORMATO,COD_ZONA,SECUENCIA,NOMB_ZONE,COD_ESC,COD_ZNFCN,DSCRPCN_MAPEO_ZONA,PRICE_EVENT_TYPE,PRECIO_GPI_C_IMP,PRECIO_GPI_S_IMP,PRECIO_GP,PRECIO_AT,PRECIO_VENTA,TAX,STORE_NBR,ITEM,UPC,DESCRIPCION,DESCRIPCION_1,DESCRIPCION_2,DESCRIPCION_SHOP,DESCRIPCION_UPC,ITEM_PRINCIPAL_XREF,ITEM_ENLAZADO_XREF,TIPO_XREF,JUSTIFICACION_XREF,ROL_XREF,COD_DIV,DIVISION,COD_SUBDIV,SUBDIVISION,DEPT_NBR,N_DEPTO,DPTO_DESC,ESTATUS,CANAL,TIPO,SUBTIPO,ORDERBOOK,CWO,MBM,N_FINELINE,FINELINE_DESC,CATEGORY_NBR,CATEGORY_DESC,SUBCATEGORY,N_MARCA,MARCA_DESC,N_VENDOR,VENDOR_DESC,F_CREADO,F_EFECTIVA,F_FINAL,UXC_DESC,UDM,SELL_PACK_QTY,SELL_QTY,IND_BASCULA,IND_TRASTIENDA,PRODUCT_NBR,COSTO,COST_UNIT,PRECIO_EV_4K,PRECIO_FINAL,ROTACIONES,VENTAS,INVENTARIO,ORDENADO,EN_TRANSITO,EN_CD,FIJACION,TC,EFFECTIVE_DATE,EXPIRATION_DATE,LAST_CHANGE_TS,EXTRACT_DATE,EXTRACT_YR,SW
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1250.0,11.06,1000.0,,1083.2933,0.13,4076,75280476,8719400016,POLAR PILSENER EN VIDRIO 355 ML,POLAR PILSEN VIDRIO,CR POLAR PILSEN VID,,POLAR VIDRIO,75280476,75280476,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,33,0,true,false,M,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,5078,POLAR,178272,COSTAVEN SUPPLY SA,2024-11-11T00:00:00.000Z,2024-11-25T00:00:00.000Z,2049-12-31T00:00:00.000Z,355 ML,ML,24.0,355.0,false,false,75513264,22500.56,937.5271,,1250.0,6.0,5752.0,,,,,/GP/MOM,507.0,2024-11-12T00:00:00+00:00,2049-12-31T00:00:00+00:00,2024-11-11T19:01:48.349000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,5680.0,50.27,,,,0.13,4076,75495607,744508200990,8 PK CERVEZAS LATA DEL MUNDO 2640 ML,8 PK CERV DMUNDO LAT,CR SURT CEV 8PK LATA,,SURTID CERV,75495607,75495607,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,NO RESURTIBLE,3,0,false,false,I,1001,CERVEZA LAGER PAQ GF,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,44749,DAMM,17665,DIST ISLENA DE ALIMENTOS,2026-04-20T00:00:00.000Z,2026-04-27T00:00:00.000Z,2026-07-26T00:00:00.000Z,2640ML,ML,1.0,2640.0,false,false,75832599,12780.3,4260.1,,5680.0,,,,,,,,507.0,2026-04-22T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-22T11:01:15.685000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1020.0,9.03,800.0,,910.4033,0.13,4076,70021467,3410000021,CERVEZA MILLER HIGH LIFE BOTELLA 355 ML,CERV MHL BOT 355 ML,CR CERVEZ MHL BOTE,,MHL BOTELLA,70021467,70021467,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,20,47,true,false,M,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,4203,MILLER,18233,AGENCIAS FEDURO CR SA,2022-07-01T00:00:00.000Z,2025-10-30T00:00:00.000Z,2049-12-31T00:00:00.000Z,355ML,ML,24.0,355.0,false,false,1911387,20258.64,844.11,,1020.0,12.0,9668.0,18,24,0,0,/GP/MOM,507.0,2026-05-06T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-05-06T19:04:51.766000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,840.0,7.43,,,836.8027,0.13,4076,9515085,744100350523,REFRES GAS COCA COLA LIGHT LATA 354ML,COCA C REF LIGHT LAT,CR S DRK CAN COKE LI,,COCA LIG L,9515085,9515085,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1702,BEB COLA LIGHT PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,1324,COCA-COLA,18294,COCA COLA FEMSA DE COSTA RICA,1999-01-12T00:00:00.000Z,2008-06-16T00:00:00.000Z,2049-12-31T00:00:00.000Z,354ML,ML,1.0,354.0,false,false,106208,7811.9951,651.0043,,840.0,30.0,22216.0,3,0,0,0,,507.0,2026-06-10T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-10T19:03:43.085000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,2260.0,20.0,,,,0.13,4076,75400210,4209507,CERVEZA FLENSBURGER GOLD 330 ML,CERV GOLD 330ML,CR CERV FLENS GOLD,,CERV GOLD,75400210,75400210,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,NO RESURTIBLE,3,0,false,false,I,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,50043,FLENSBURGER,20884,GOURMET IMPORTS DCR S A,2025-08-18T00:00:00.000Z,2026-09-14T00:00:00.000Z,2026-12-13T00:00:00.000Z,330 ML,ML,1.0,330.0,false,false,75700611,35256.0,1469.0,,2260.0,,,,,,,,507.0,2026-06-09T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-09T11:01:12.928000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,MD,750.0,6.64,,,,0.13,4076,70370311,744301768013,CERVEZA ESTILO PILSENER BOTELLA 350ML,AMBAR CER PILSENER P,CR AMBAR PILSENER,,AMBAR PILSER,70370311,70370311,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,I,RESURTIBLE,33,0,false,false,M,1028,CERVEZA ARTESANAL,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,216,AMBAR,17665,DIST ISLENA DE ALIMENTOS,2019-07-04T00:00:00.000Z,2025-10-27T00:00:00.000Z,2049-12-31T00:00:00.000Z,350ML,ML,1.0,350.0,false,false,1690347,23404.56,975.19,,750.0,,,,,,,MD,507.0,2026-02-08T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-02-06T14:01:58.307000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1100.0,9.73,966.6667,,,0.13,4076,70602951,841259800583,ESTRELLA GALICIA ESPECIAL 330 ML,ESTRELLA BOTELLA 330,CR ESTRELLA BOTELLA,,ESTRELLA GAL,70602951,70602951,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,33,0,true,false,M,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,2142,ESTRELLA,17874,GRUPO PAMPA CRCSA,2021-11-22T00:00:00.000Z,2022-04-18T00:00:00.000Z,2049-12-31T00:00:00.000Z,330,ML,1.0,330.0,false,false,1763299,25752.7,1073.0254,,1100.0,,,36,0,0,0,/GP/MOM,507.0,2026-06-02T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-03-27T19:02:22.643000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1380.0,12.21,,,,0.13,4076,70326206,1820025000,CERVEZA BUDWEISER LATA 740ML,CERVEZ BUDWSER 740ML,CR CERV LATA,,BUDWESR 740M,75495146,70326206,VIGENTE,CAMBIO DE UPC,ENLAZADO,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,I,RESURTIBLE,20,0,false,false,M,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,890,BUDWEISER,25871,CIAMESA SA,2022-11-24T00:00:00.000Z,2022-12-08T00:00:00.000Z,2049-12-31T00:00:00.000Z,740ML,ML,1.0,740.0,false,false,1911408,16797.45,1119.83,,1380.0,,,,,,,,507.0,2026-04-28T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-28T11:01:21.756000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,9550.0,84.51,,,,0.13,4076,75495608,744508200991,CERV PEONNI BOT MAS SNACK QUESO 1392 ML,PK CERV PERONNI SNAC,CR PERON CEV 4PK SN,,PERONN CERV,75495608,75495608,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,NO RESURTIBLE,3,0,false,false,I,1001,CERVEZA LAGER PAQ GF,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,4915,PERONI,17665,DIST ISLENA DE ALIMENTOS,2026-04-20T00:00:00.000Z,2026-04-27T00:00:00.000Z,2026-07-26T00:00:00.000Z,1392ML,ML,1.0,1392.0,false,false,75832602,21482.43,7160.81,,9550.0,,,3,0,0,0,,507.0,2026-04-22T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-22T11:01:15.721000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,RB,4700.0,41.59,,,4699.67,0.13,4076,70486153,76400904053,CERVEZA PILSEN 6 PACK LATA MULTI 350ML,PILSEN 6 PACK,CR PILSEN 6.0 6 PACK,,PILSE 6.0 6P,70486153,70486153,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,37,1,true,false,M,1250,CERVEZA PILSENER PAQ,6894,BEVERAGE ALCOHOL - BEER D96,PILSNER,4986,PILSEN,17707,DISTRIBUIDORA LA FLORIDA SOCIE,2019-12-13T00:00:00.000Z,2020-10-26T00:00:00.000Z,2049-12-31T00:00:00.000Z,2100ML,ML,6.0,2100.0,false,false,832274,17056.0053,4263.9985,,4700.0,8.0,33272.0,,,,,RB/MOM,507.0,2026-04-30T00:00:00+00:00,2026-07-21T00:00:00+00:00,2026-04-29T19:03:12.805000+00:00,2026-06-29T00:00:00+00:00,2026,22
