COD_PAIS,PAIS,COD_FORMATO,FORMATO,COD_ZONA,SECUENCIA,NOMB_ZONE,COD_ESC,COD_ZNFCN,DSCRPCN_MAPEO_ZONA,PRICE_EVENT_TYPE,PRECIO_GPI_C_IMP,PRECIO_GPI_S_IMP,PRECIO_GP,PRECIO_AT,PRECIO_VENTA,TAX,STORE_NBR,ITEM,UPC,DESCRIPCION,DESCRIPCION_1,DESCRIPCION_2,DESCRIPCION_SHOP,DESCRIPCION_UPC,ITEM_PRINCIPAL_XREF,ITEM_ENLAZADO_XREF,TIPO_XREF,JUSTIFICACION_XREF,ROL_XREF,COD_DIV,DIVISION,COD_SUBDIV,SUBDIVISION,DEPT_NBR,N_DEPTO,DPTO_DESC,ESTATUS,CANAL,TIPO,SUBTIPO,ORDERBOOK,CWO,MBM,N_FINELINE,FINELINE_DESC,CATEGORY_NBR,CATEGORY_DESC,SUBCATEGORY,N_MARCA,MARCA_DESC,N_VENDOR,VENDOR_DESC,F_CREADO,F_EFECTIVA,F_FINAL,UXC_DESC,UDM,SELL_PACK_QTY,SELL_QTY,IND_BASCULA,IND_TRASTIENDA,PRODUCT_NBR,COSTO,COST_UNIT,PRECIO_EV_4K,PRECIO_FINAL,ROTACIONES,VENTAS,INVENTARIO,ORDENADO,EN_TRANSITO,EN_CD,FIJACION,TC,EFFECTIVE_DATE,EXPIRATION_DATE,LAST_CHANGE_TS,EXTRACT_DATE,EXTRACT_YR,SW,CODIGO_FAMILIA,AGRUPACION,ITEM_PRIMARIO,DESC_PRIMARIO,VENTAS_PRIMARIO,PRECIO_PRIMARIO,ESTADO_PRECIO,DIFERENCIA_PRECIO,ROTACION
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,780.0,6.9,,,,0.13,4076,9525620,76400900620,REFRESCO GASEOSO MUG ZARZA PET 600ML,MUG REFRESC GAS ZARZ,CR MUG ZARZ,,REFR GAS MUG,9525620,9525620,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1756,BEB SABOR REGUL PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,15461,MUG ROOT BEER,17707,DISTRIBUIDORA LA FLORIDA SOCIE,2009-05-08T00:00:00.000Z,2010-05-24T00:00:00.000Z,2049-12-31T00:00:00.000Z,600ML,ML,1.0,600.0,false,false,212424,7539.36,628.28,,780.0,,,15,0,0,0,,507.0,2026-04-29T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-29T19:03:11.969000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0010,PRIMARIO,9525620,REFRESCO GASEOSO MUG ZARZA PET 600ML,0,780.0,Igual al Primario,0.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1740.0,15.4,,,,0.13,4076,75253979,73381500501,SODA SANGARIA RAMUNE LYCHEE 200ML,RAMUN SANGARIA LICHI,CR RAMUNE SODA LICHI,,RAMUNE LYCHE,75253979,75253979,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,true,false,M,1756,BEB SABOR REGUL PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,230754,RAMUNE,226282,GOLDEN TRADING SA,2024-08-29T00:00:00.000Z,2026-06-25T00:00:00.000Z,2049-12-31T00:00:00.000Z,200ML,ML,1.0,200.0,false,false,75175275,23400.04,1299.9972,,1740.0,,,,,,,,507.0,2024-08-29T00:00:00+00:00,2049-12-31T00:00:00+00:00,2024-08-29T19:03:41.242000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0011,SECUNDARIO,75253976,SODA SANGARIA RAMUNE MELON 200ML,0,1740.0,Igual al Primario,0.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1680.0,14.87,,,1680.31,0.13,4076,9539508,76400900602,REFRESCO GASEO 7UP LIMA LIMON PET 3000ML,7UP REFRESC GAS LIMA,CR 7 UP REFRES GAS,,REF GAS 7 UP,9539508,9539508,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1754,BEB SABOR REGUL FAMI,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,31,7UP,17707,DISTRIBUIDORA LA FLORIDA SOCIE,2009-09-25T00:00:00.000Z,2009-10-05T00:00:00.000Z,2049-12-31T00:00:00.000Z,3000ML,ML,1.0,3000.0,false,false,535486,8881.8,1480.3,,1680.0,22.0,32714.0,,,,,,507.0,2026-04-29T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-29T19:03:13.714000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0012,PRIMARIO,9539508,REFRESCO GASEO 7UP LIMA LIMON PET 3000ML,32714.0,1680.0,Igual al Primario,0.0,22.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,850.0,7.52,745.0,,798.6462,0.13,4076,9521343,744100351848,REFRESC GAS COCA COLA ZERO PET 600ML,COCA COLA ZERO 600ML,CR REF GAS COLA ZERO,,REF GAS C CO,9521343,9521343,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1702,BEB COLA LIGHT PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,1324,COCA-COLA,18294,COCA COLA FEMSA DE COSTA RICA,2008-09-03T00:00:00.000Z,2015-06-08T00:00:00.000Z,2049-12-31T00:00:00.000Z,600ML,ML,1.0,600.0,false,false,155723,8813.5593,734.4661,,850.0,227.0,160436.0,261,0,0,0,/GP/MOM,507.0,2026-04-19T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-17T14:01:24.252000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0013,PRIMARIO,9521343,REFRESC GAS COCA COLA ZERO PET 600ML,160436.0,850.0,Igual al Primario,0.0,227.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,2030.0,17.96,,,,0.13,4076,75210915,63736410440,COLA KOLA SHALER 2000ML,KOLA SHALER 2L,CR KOLA SHALER 2L,,KOLA SHA 2L,75382608,75210915,VIGENTE,CAMBIO DE VENDOR,ENLAZADO,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,false,false,M,1754,BEB SABOR REGUL FAMI,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,14608,KOLA SHALER,178272,COSTAVEN SUPPLY SA,2024-05-28T00:00:00.000Z,2024-10-07T00:00:00.000Z,2049-12-31T00:00:00.000Z,2000,ML,1.0,2000.0,false,false,615230,9119.1,1519.85,,2030.0,,,,,,,,507.0,2025-07-22T00:00:00+00:00,2049-12-31T00:00:00+00:00,2025-07-22T11:01:44.067000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0014,PRIMARIO,75210915,COLA KOLA SHALER 2000ML,0,2030.0,Igual al Primario,0.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,RB,1000.0,8.85,,,1000.05,0.13,4076,75002707,744100163851,GASEOSA ALMA TORONJA LIMA 2000ML PET,DP GASEO TOR LIM 2L,CR GAS TOR LIM 2L,,BEB CARBO DO,75002707,75002707,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,true,false,M,1750,BEB SABOR LIGHT FAMI,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,1870,DOS PINOS,17632,COOPERATIVA DE PRODUCTORES DE,2023-02-06T00:00:00.000Z,2023-06-09T00:00:00.000Z,2049-12-31T00:00:00.000Z,2.0LT,ML,1.0,2000.0,false,false,75002688,6183.36,1030.56,,1000.0,5.0,4425.0,,,,,RB/MOM,507.0,2026-06-02T00:00:00+00:00,2026-07-21T00:00:00+00:00,2026-05-28T14:03:11.692000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0015,SECUNDARIO,75002708,GASEOSA ALMA PIT HIER BU 2000ML PET,12390.0,1000.0,Igual al Primario,0.0,5.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,680.0,6.02,,,,0.13,4076,70522372,87303900047,BEBIDA GUARANA COTUBA ZERO 600 ML,COTUBA GUARANA ZERO,CR COTUBA GUARANA ZE,,COTUBA ZERO,70522372,70522370,VIGENTE,CAMBIO DE UPC,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,I,RESURTIBLE,20,47,false,false,M,1752,BEB SABOR LIGHT PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,1464,COTUBA,17632,COOPERATIVA DE PRODUCTORES DE,2020-06-24T00:00:00.000Z,2024-10-07T00:00:00.000Z,2049-12-31T00:00:00.000Z,600ML,ML,,600.0,false,false,1549575,6454.56,537.88,,680.0,,,1,0,0,0,,507.0,2026-02-17T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-02-11T19:04:34.556000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0016,PRIMARIO,70522372,BEBIDA GUARANA COTUBA ZERO 600 ML,0,680.0,Igual al Primario,0.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,MD,250.0,2.21,,,,0.13,4076,75274052,7800000187,BEBIDA CERVEZA RAIZ A W ROOT 355ML,A W ROOT BEER BEBIDA,CR A W ROOT BEER BEB,,A W ROOT,75274052,75274052,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,true,false,M,1706,BEB COLA REGUL PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,36,A&W,178272,COSTAVEN SUPPLY SA,2024-10-25T00:00:00.000Z,2025-05-01T00:00:00.000Z,2049-12-31T00:00:00.000Z,355ML,ML,12.0,355.0,false,false,75502066,7458.0,621.5,,250.0,,,,,,,MD,507.0,2025-11-02T00:00:00+00:00,2049-12-31T00:00:00+00:00,2025-10-31T19:02:29.641000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0017,PRIMARIO,75274052,BEBIDA CERVEZA RAIZ A W ROOT 355ML,0,250.0,Igual al Primario,0.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,MD,1000.0,8.85,,,,0.13,4076,75440678,72419081287,GASEOSA ORANGE POPPI 355ML,POPPI GAS ORA 355 ML,CR PY POPPI ORANGE,,POPPI ORANGE,75440678,75440678,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,true,false,M,1756,BEB SABOR REGUL PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,231513,POPPI,52140,STONE CREEK CAPITAL LIMITADA,2025-11-19T00:00:00.000Z,2025-12-04T00:00:00.000Z,2049-12-31T00:00:00.000Z,355,ML,1.0,355.0,false,false,75756175,15865.2,1322.1,,1000.0,,,,,,,MD,507.0,2026-06-08T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-08T19:01:52.190000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0018,SECUNDARIO,75440677,GASEOSA RASPBERRY ROSE POPPI 355ML,0,1760.0,Diferente al Primario,-760.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,430.0,3.81,,,429.1128,0.13,4076,70168329,744100359620,REFRESCO GAS COCA COLA ZERO PET 355 ML,COCA C REF ZERO PET,CR COCA COLA ZERO,,COCA C ZERO,70168329,70168329,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1702,BEB COLA LIGHT PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,1324,COCA-COLA,18294,COCA COLA FEMSA DE COSTA RICA,2017-08-17T00:00:00.000Z,2017-12-04T00:00:00.000Z,2049-12-31T00:00:00.000Z,355ML,ML,1.0,355.0,false,false,467164,4752.0003,395.9972,,430.0,303.0,115063.0,384,0,0,0,,507.0,2026-05-20T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-05-20T19:02:05.083000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0019,PRIMARIO,70168329,REFRESCO GAS COCA COLA ZERO PET 355 ML,115063.0,430.0,Igual al Primario,0.0,303.0
