PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,MARCA,CATEGORIA,SKU_PRIMARIO,PRECIO_PRIMARIO,VENTAS_PRIMARIO,ROTACIONES_PRIMARIO,TOTAL_SKUS,SKUS_VALIDOS,SKUS_PACK_GRAMAJE,PRECIOS_DISTINTOS,SKUS_ALINEADOS,SKUS_NO_ALINEADOS,PCT_ALINEACION,TIENE_SKU_PRIMARIO,SKUS_SIN_PRECIO,SKUS_SIN_VENTAS,VENTAS_FAMILIA,ESTADOS_PRESENTES
GT,SUPERMERCADOS,D - VERDE,70095436,DET LIQ FAB POD PARAISO FLORAL DP 900ML,FAB,LAUNDRY DETERGENTS D13,70095436,18.0,1276.95,88.0,4,4,0,2,1,3,25.0,1,0,0,2135.55,Diferente al Primario | Igual al Primario
SV,WALMART,C - AMARILLA,75014772,PANAL HUGGIES NAT CARE GIGA XG 80 EA,HUGGIES,BABY DIAPERS&POTTY TRAINING D69,75014772,23.75,903.66,46.0,5,5,0,2,2,3,40.0,1,0,1,2129.86,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,75428348,DESINFECTANTE OLIMPO FLORES FRESCAS 2LT,OLIMPO,CLEANERS - FLOOR D13,75428348,4.0,0.0,0.0,4,4,0,2,1,3,25.0,1,0,1,2127.7799999999997,Diferente al Primario | Igual al Primario
NI,BODEGAS,C - AMARILLA,75124029,6PK SELTZER FDC PREMIUM TROPICAL 2130ML,FLOR DE CAÑA SELTZER,BEVERAGE ALCOHOL - COCKTAIL D96,75124029,180.0,626.08,4.0,4,4,0,2,1,3,25.0,1,0,1,2120.89,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,75187364,ENERGIZANTE RED BULL REGULAR LATA 250ML,RED BULL,BEVERAGE-HYDRATE&ENERGY-D95,75187364,15.7,853.82,61.0,5,5,0,4,2,3,40.0,1,0,0,2082.7599999999998,Diferente al Primario | Igual al Primario
HN,WALMART,A - ROJA,75070765,DESODORANTE BARRA REXONA MEN V8 45GR,REXONA,DEODORANTS Y ANTIPERSPIRANT D02,75070765,90.0,391.3,5.0,4,4,0,2,1,3,25.0,1,0,0,2073.47,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,B - NARANJA,75459280,SHAMPOO HAIRFOOD SANDIA 300ML,FRUCTIS,HAIR CARE - SHAMPOO D02,75459280,40.75,723.98,20.0,4,4,0,2,1,3,25.0,1,0,0,2045.63,Diferente al Primario | Igual al Primario
GT,BODEGAS,B - NARANJA,75228373,DUREX PLACER PROLONGADO PRESER X 3EA,DUREX,REPRODUCTIVE SYSTEM-D40,75228373,30.56,518.51,19.0,4,4,0,2,1,3,25.0,1,0,0,2043.54,Diferente al Primario | Igual al Primario
GT,BODEGAS,E - AZUL,1342469,AEROSOL REG GLADE MANZANA CANELA 400ML,GLADE,AIR FRESHNR & DEODORIZE-D13,1342469,29.5,289.74,11.0,9,9,0,4,6,3,66.67,1,0,1,2037.6399999999999,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,70003296,RON BOTRAN XL 375 ML,XL,BEVERAGE ALCOHOL - SPIRITS D96,70003296,30.25,1269.47,47.0,4,4,0,2,1,3,25.0,1,0,0,2019.5900000000001,Diferente al Primario | Igual al Primario
CR,BODEGAS,PACIFICO SUR,75168488,TE NEGRO FRAMBUESA LIVEAN 8GR,LIVEAN,BEVERAGES - FLAVORED-D95,75168488,100.0,1760.0,20.0,5,5,0,2,2,3,40.0,1,0,3,2008.0,Diferente al Primario | Igual al Primario
NI,BODEGAS,A - ROJA,70582028,SALSA ROMA TOMATE TIPO ITALIANA 106GR,ROMA,SAUCES & MARINADES-D92,70582028,19.0,462.56,28.0,5,5,0,2,2,3,40.0,1,0,0,2007.1,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,70572430,ACONDICIONADOR SEDAL RIZOS DEFINID 340ML,SEDAL,HAIR CARE CONDITIONER TREAT D02,70572430,31.25,917.93,33.0,4,4,0,4,1,3,25.0,1,0,0,1985.9099999999999,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,B - NARANJA,75458136,CHEESE KRAFT CHEDDAR SHARP CUNA 226GR,KRAFT,CHEESES-D90,75458136,46.75,0.0,0.0,4,4,0,3,1,3,25.0,1,0,1,1984.67,Diferente al Primario | Igual al Primario
SV,SUPERMERCADOS,B - NARANJA,70246949,GALLETA NABISCO OREO REGULAR 432 GR,OREO,COOKIES - SHELF STABLE-D92,70246949,3.6,1695.2,640.0,4,4,0,2,1,3,25.0,1,0,0,1983.38,Diferente al Primario | Igual al Primario
HN,WALMART,A - ROJA,9029547,YOGURT YOPLAIT FRUTAS TROPICALES 235 GR,YOPLAIT,YOGURT D90,9029547,26.4,778.34,34.0,4,4,0,2,1,3,25.0,1,0,0,1964.85,Diferente al Primario | Igual al Primario
SV,WALMART,C - AMARILLA,70472910,BEBIDA ENERGETICA MONSTER ENERGY 473ML,MONSTER,BEVERAGE-HYDRATE&ENERGY-D95,70472910,2.2,827.96,427.0,4,4,0,3,1,3,25.0,1,0,2,1953.83,Diferente al Primario | Igual al Primario
GT,BODEGAS,C - AMARILLA,292673,ACONDIC PANTENE RIZOS DEFINID 400 ML,PANTENE,HAIR CARE CONDITIONER TREAT D02,292673,41.95,551.44,17.0,4,4,0,3,1,3,25.0,1,0,0,1952.78,Diferente al Primario | Igual al Primario
NI,SUPERMERCADOS,B - NARANJA,70514431,CENTROLAC LECHE UHT ENT 3 PORC 1000ML,CENTROLAC,MILK&CREM-SUBSTUT-SHELF-D95,70514431,60.0,0.0,0.0,4,4,0,2,1,3,25.0,1,0,1,1947.0,Diferente al Primario | Igual al Primario
HN,BODEGAS,A - ROJA,9231319,JALEA ANA BELLY DE FRESA 290GR,ANA BELLY,SWEET SPREADS&PRESERVES-D92,9231319,47.7,0.0,0.0,4,4,0,3,1,3,25.0,1,0,2,1942.02,Diferente al Primario | Igual al Primario
NI,BODEGAS,C - AMARILLA,75007300,ADEREZO RANCH DP MCM 180 ML,MCCORMICK,SALAD DRESS-DIP-TOPPING-D92,75007300,60.0,1147.74,22.0,4,4,0,2,1,3,25.0,1,0,1,1927.74,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,B - NARANJA,75070271,DEO SECRET SPRAY VANILLA 150ML,SECRET,DEODORANTS Y ANTIPERSPIRANT D02,75070271,8.0,189.7,7.0,4,4,0,2,1,3,25.0,1,0,0,1921.51,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,70396479,RON XL MANZANA Y LIMON 750ML,XL,BEVERAGE ALCOHOL - SPIRITS D96,70396479,61.7,275.45,5.0,6,6,0,3,3,3,50.0,1,0,0,1919.3000000000002,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,70447572,BEB HIDRATAN GATORADE FRUIT PUNCH 1000ML,GATORADE,BEVERAGE-HYDRATE&ENERGY-D95,70447572,10.65,919.74,97.0,5,5,0,3,2,3,40.0,1,0,3,1916.37,Diferente al Primario | Igual al Primario
HN,WALMART,C - AMARILLA,75180515,SHAMPOO TRESEMME CAUT REPARADORA 500ML,TRESEMMÉ,HAIR CARE - SHAMPOO D02,75180515,255.5,0.0,0.0,4,4,0,3,1,3,25.0,1,0,1,1883.4900000000002,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,E - AZUL,9567600,GASEOSA COCA COLA Y SPRITE 2PACK 6000ML,FRESCA,BEVERAGES - CARBONATED-D95,9567600,35.3,819.52,26.0,6,6,0,2,3,3,50.0,1,0,4,1882.02,Diferente al Primario | Igual al Primario
HN,SUPERMERCADOS,C - AMARILLA,70067915,GUANTE MEDIANO SCOTCH BRITE MULTIUSO 1EA,SCOTCH BRITE,GLOVES-D13,70067915,100.0,1391.36,16.0,4,4,0,4,1,3,25.0,1,0,1,1866.1299999999999,Diferente al Primario | Igual al Primario
HN,WALMART,B - NARANJA,70016578,BEBIDA FRISTY DE NARANJA 3785ML,FRISTY,BEVERAGES - JUICES-D95,70016578,56.9,1279.9,23.0,4,4,0,2,1,3,25.0,1,0,0,1864.2600000000002,Diferente al Primario | Igual al Primario
GT,WALMART,B - NARANJA,70362676,BEBIDA ALOE VERA KING ORIGINAL OKF 500ML,OKF,BEVERAGES – NATURAL DRINKS-D95,70362676,15.75,615.85,44.0,4,4,0,2,1,3,25.0,1,0,0,1859.0800000000002,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,75281173,SALSA SABEMAS TOMATE SOFRITO 90 GR,SABEMAS,SAUCES & MARINADES-D92,75281173,2.65,526.14,222.0,4,4,0,3,1,3,25.0,1,0,0,1854.4300000000003,Diferente al Primario | Igual al Primario
GT,BODEGAS,C - AMARILLA,75459280,SHAMPOO HAIRFOOD SANDIA 300ML,FRUCTIS,HAIR CARE - SHAMPOO D02,75459280,39.25,805.92,23.0,4,4,0,2,1,3,25.0,1,0,0,1853.34,Diferente al Primario | Igual al Primario
CR,BODEGAS,HEREDIA - GAM,75168488,TE NEGRO FRAMBUESA LIVEAN 8GR,LIVEAN,BEVERAGES - FLAVORED-D95,75168488,100.0,1848.0,21.0,5,5,0,2,2,3,40.0,1,0,4,1848.0,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,B - NARANJA,75409981,SAN PELLEG AGUA CARBONA NARROJA 330ML,SAN PELLEGRINO,BEVERAGES - WATER-D95,75409981,13.0,510.33,54.0,11,11,0,3,8,3,72.73,1,0,3,1834.3600000000001,Diferente al Primario | Igual al Primario
HN,SUPERMERCADOS,A - ROJA,70016578,BEBIDA FRISTY DE NARANJA 3785ML,FRISTY,BEVERAGES - JUICES-D95,70016578,57.0,910.0,18.0,4,4,0,2,1,3,25.0,1,0,0,1828.28,Diferente al Primario | Igual al Primario
GT,BODEGAS,A - ROJA,75459249,ELVIVE HIDRA HIALURONICO PUREACO 370ML,ELVIVE,HAIR CARE CONDITIONER TREAT D02,75459249,53.0,283.92,6.0,5,5,0,4,2,3,40.0,1,0,2,1816.0,Diferente al Primario | Igual al Primario
CR,BODEGAS,GUANACASTE,75348316,BORDEN LECHE SEMIDRESCRE 1000 ML,BORDEN,MILK&CREM-SUBSTUT-SHELF-D95,75348316,750.0,0.0,0.0,5,5,0,2,2,3,40.0,1,0,3,1812.0,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,75459280,SHAMPOO HAIRFOOD SANDIA 300ML,FRUCTIS,HAIR CARE - SHAMPOO D02,75459280,39.5,705.4,20.0,4,4,0,2,1,3,25.0,1,0,0,1773.29,Diferente al Primario | Igual al Primario
NI,BODEGAS,C - AMARILLA,75038239,TIO NACHO SHAMPOO HENNA EGIPCIA 415 ML,TIO NACHO,HAIR CARE CONDITIONER TREAT D02,75038239,310.0,269.57,1.0,5,5,0,4,2,3,40.0,1,0,2,1765.2399999999998,Diferente al Primario | Igual al Primario
GT,WALMART,B - NARANJA,70103891,JABON TOC SOLENTI REJUVENECER 4U 440G,SOLENTI,HAND AND BODY WASHING D02,70103891,14.5,565.92,44.0,4,4,0,4,1,3,25.0,1,0,0,1749.8799999999999,Diferente al Primario | Igual al Primario
GT,BODEGAS,A - ROJA,70400859,BEBIDA SMIRNOFF ICE GREEN APPLE 355ML,SMIRNOFF,BEVERAGE ALCOHOL - COCKTAIL D96,70400859,10.0,607.24,68.0,5,5,0,3,2,3,40.0,1,0,0,1709.85,Diferente al Primario | Igual al Primario
