PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,SKU_PRIMARIO,PRECIO_PRIMARIO,TAMANO_PRIMARIO,MEDIDA_PRIMARIO,SKU_SECUNDARIO,AGRUPACION,DESC_SECUNDARIO,PRECIO_SECUNDARIO,TAMANO_SECUNDARIO,MEDIDA_SECUNDARIO,FACTOR_DE_CONVERSION,AHORRO_DIFERENCIAL,DIFERENCIA_ABSOLUTA,DIFERENCIA_PCT,EVALUACION,Ventas,Rotaciones,Sell_QTY,CATEGORIA,MARCA
CR,BODEGAS,SAN JOSE,75260390,LECHE SULI SEMIDESCREMADA UHT 1000ML,75260390,730.0,1000.0,ML,75260389,SECUNDARIO,LECHE SULI SEMIDESCREMADA UHT 3000ML 3PK,2200.0,3000.0,ML,3.0,0.96,1470.0,201.37,Mayor al primario - Esperado para pack,4684233.0,2161.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,SULI
CR,SUPERMERCADOS,PE GENERAL OESTE,75395135,SANDIA KILO,75395135,540.0,1.0,KG,75395136,SECUNDARIO,SANDIA SELECCION ESPECIAL KG,590.0,1.0,KG,1.0,1.1,50.0,9.26,Mayor al primario - Esperado para pack,4525704.0,7315.57,1.0,FRUIT - FRESH - CUT AND WHOLE D94,HORTIFRUTI
CR,DESCUENTO,CARTAGO,70361629,LECHE UHT PROD BIENESTAR 2PINOS 1000 ML,70361629,950.0,1000.0,ML,70156186,SECUNDARIO,LECHE PROD BIENESTAR 3 PACK 1000 ML,2350.0,3000.0,ML,3.0,0.85,1400.0,147.37,Mayor al primario - Esperado para pack,4437556.0,1914.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,RURAL NORTE,75053378,ATUN SULI TROCITOS EN ACEITE 140 GR,75053378,470.0,140.0,GR,75068000,SECUNDARIO,ATÚN SULI TROCITOS EN ACEITE 6PK 840GR,2940.0,840.0,GR,6.0,0.83,2470.0,525.53,Mayor al primario - Esperado para pack,4289340.0,1476.0,840.0,SEAFOOD-FISH-D92,SULI
CR,DESCUENTO,RURAL NORTE,75260390,LECHE SULI SEMIDESCREMADA UHT 1000ML,75260390,750.0,1000.0,ML,75260389,SECUNDARIO,LECHE SULI SEMIDESCREMADA UHT 3000ML 3PK,2250.0,3000.0,ML,3.0,0.96,1500.0,200.0,Mayor al primario - Esperado para pack,4265190.0,1920.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,SULI
CR,WALMART,SAN JOSE,9003234,MANTEQUILL CON SAL DOS PINOS BARRA 115GR,9003234,1320.0,115.0,GR,9003724,SECUNDARIO,MANTEQUILLA DOS PINOS CON SAL CAJA 460GR,5270.0,460.0,GR,4.0,0.97,3950.0,299.24,Mayor al primario - Esperado para pack,4209503.0,914.0,460.0,BUTTER AND BUTTER SUBSTITUTES D90,DOS PINOS
CR,DESCUENTO,LIMON,75260390,LECHE SULI SEMIDESCREMADA UHT 1000ML,75260390,730.0,1000.0,ML,75260389,SECUNDARIO,LECHE SULI SEMIDESCREMADA UHT 3000ML 3PK,2040.0,3000.0,ML,3.0,0.96,1310.0,179.45,Mayor al primario - Esperado para pack,4176105.0,2072.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,SULI
CR,BODEGAS,SAN JOSE,75053378,ATUN SULI TROCITOS EN ACEITE 140 GR,75053378,470.0,140.0,GR,75068000,SECUNDARIO,ATÚN SULI TROCITOS EN ACEITE 6PK 840GR,2770.0,840.0,GR,6.0,0.83,2300.0,489.36,Mayor al primario - Esperado para pack,3980140.0,1459.0,840.0,SEAFOOD-FISH-D92,SULI
CR,DESCUENTO,SAN JOSE,70568344,LECHE DOS PINOS DELACTOMY 946 ML EDGE,70568344,1220.0,946.0,ML,70050503,SECUNDARIO,LECHE DOS PINOS DELACTOMY 946 ML 2PACK,1920.0,1892.0,ML,2.0,0.75,700.0,57.38,Mayor al primario - Esperado para pack,3878926.0,2046.0,1892.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,RURAL NORTE,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70172828,SECUNDARIO,ACEITE SABEMAS SOYA 900 ML,800.0,900.0,ML,0.3,1.07062665850173,-2700.0,-77.14,REVISAR: Precio menor al primario,3829906.0,4848.0,900.0,OILS & FATS-D92,SABEMAS
