PAIS,TOTAL_FAMILIAS,TOTAL_SKUS,SKUS_VALIDOS,SKUS_PACK_GRAMAJE,SKUS_ALINEADOS,SKUS_NO_ALINEADOS,FAMILIAS_100_ALINEADAS,FAMILIAS_CON_DIFERENCIAS,PCT_ALINEACION
GT,87042,116723,115587,1136,104858,8448,85652,4942,92.54
HN,58413,80136,79632,504,73208,5541,57745,3858,92.96
CR,281610,374194,366225,7969,339009,22217,277649,13341,93.85
SV,58279,80721,80207,514,74373,4738,57644,3043,94.01
NI,37418,48045,47593,452,44624,2440,36965,1673,94.82
